Date,Price_crude,Open,High,Low,Volume,Chg%,Month,Year
Dec-20,"3,524","3,327","3,616","3,244",582.16K,5.95%, December,2020
Nov-20,"3,326","2,573","3,415","2,540",2.08M,25.89%, November,2020
Oct-20,"2,642","2,952","3,058","2,606",1.79M,-9.95%, October,2020
Sep-20,"2,934","3,159","3,177","2,672",1.73M,-6.71%, September,2020
Aug-20,"3,145","3,002","3,263","2,976",1.56M,4.04%, August,2020
Jul-20,"3,023","3,010","3,182","2,902",2.19M,0.27%, July,2020
Jun-20,"3,015","2,666","3,153","2,595",2.85M,17.59%, June,2020
May-20,"2,564","1,360","2,638","1,360",2.66M,94.98%, May,2020
Apr-20,"1,315","1,658","2,117",795,3.67M,-21.73%, April,2020
Mar-20,"1,680","3,326","3,577","1,583",9.18M,-48.51%, March,2020
Feb-20,"3,263","3,671","3,949","3,206",9.59M,-11.40%, February,2020
Jan-20,"3,683","4,374","4,670","3,667",8.18M,-16.03%,January,2020
Dec-19,"4,386","4,000","4,450","3,973",5.52M,10.20%, December,2019
Nov-19,"3,980","3,861","4,222","3,843",5.68M,3.30%, November,2019
Oct-19,"3,853","3,889","4,045","3,622",5.29M,-0.70%, October,2019
Sep-19,"3,880","3,962","4,555","3,826",5.66M,-1.82%, September,2019
Aug-19,"3,952","4,018","4,094","3,603",5.73M,-1.98%, August,2019
Jul-19,"4,032","4,123","4,174","3,774",5.31M,-1.54%, July,2019
Jun-19,"4,095","3,696","4,164","3,522",4.86M,8.48%, June,2019
May-19,"3,775","4,443","4,474","3,758",5.24M,-15.49%, May,2019
Apr-19,"4,467","4,193","4,692","4,193",3.63M,6.74%, April,2019
Mar-19,"4,185","4,074","4,215","3,823",3.99M,3.13%, March,2019
Feb-19,"4,058","3,839","4,126","3,651",4.03M,4.88%, February,2019
Jan-19,"3,869","3,208","3,938","3,114",4.77M,22.05%,January,2019
Dec-18,"3,170","3,606","3,867","2,993",4.34M,-11.35%, December,2018
Nov-18,"3,576","4,860","4,860","3,464",3.39M,-26.90%, November,2018
Oct-18,"4,892","5,344","5,669","4,819",2.76M,-8.30%, October,2018
Sep-18,"5,335","4,941","5,356","4,808",2.53M,7.58%, September,2018
Aug-18,"4,959","4,710","5,013","4,525",2.41M,4.75%, August,2018
Jul-18,"4,734","5,036","5,173","4,585",2.63M,-6.92%, July,2018
Jun-18,"5,086","4,507","5,109","4,305",2.62M,12.60%, June,2018
May-18,"4,517","4,566","4,977","4,465",2.72M,-1.44%, May,2018
Apr-18,"4,583","4,246","4,617","4,015",2.93M,8.24%, April,2018
Mar-18,"4,234","4,065","4,305","3,902",3.20M,3.44%, March,2018
Feb-18,"4,093","4,120","4,248","3,737",2.94M,-0.46%, February,2018
Jan-18,"4,112","3,858","4,271","3,782",2.35M,6.81%,January,2018
Dec-17,"3,850","3,712","3,863","3,601",2.17M,4.42%, December,2017
Nov-17,"3,687","3,536","3,815","3,482",2.61M,4.51%, November,2017
Oct-17,"3,528","3,354","3,540","3,218",2.45M,4.60%, October,2017
Sep-17,"3,373","3,018","3,472","2,984",2.93M,11.03%, September,2017
Aug-17,"3,038","3,221","3,234","2,935",3.43M,-4.56%, August,2017
Jul-17,"3,183","2,974","3,214","2,822",3.43M,7.24%, July,2017
Jun-17,"2,968","3,135","3,175","2,732",3.26M,-5.08%, June,2017
May-17,"3,127","3,168","3,370","2,839",3.45M,-1.48%, May,2017
Apr-17,"3,174","3,276","3,478","3,101",2.39M,-3.35%, April,2017
Mar-17,"3,284","3,580","3,647","3,076",3.07M,-7.91%, March,2017
Feb-17,"3,566","3,608","3,694","3,456",2.12M,-1.33%, February,2017
