Date,Month,Year,Price_dollar,Open,High,Low,Volume,Chg%
Dec-20, December,2020,73.036,74.025,74.104,72.951,0,-1.29%
Nov-20, November,2020,73.99,74.567,75.015,73.637,0,-0.76%
Oct-20, October,2020,74.554,73.595,74.712,72.969,0,1.35%
Sep-20, September,2020,73.56,73.215,74.055,72.753,0,0.42%
Aug-20, August,2020,73.254,74.918,75.314,73.05,0,-2.22%
Jul-20, July,2020,74.916,75.525,75.625,74.488,0,-0.83%
Jun-20, June,2020,75.54,75.47,76.4,74.973,0,-0.07%
May-20, May,2020,75.59,75.319,76.145,75.038,0,0.68%
Apr-20, April,2020,75.077,75.32,77.01,74.909,0,-0.34%
Mar-20, March,2020,75.333,72.527,76.385,72.026,0,3.86%
Feb-20, February,2020,72.534,71.525,72.574,71.088,0,1.39%
Jan-20,January,2020,71.54,71.365,72.125,70.678,0,0.27%
Dec-19, December,2019,71.35,71.785,71.825,70.51,0,-0.55%
Nov-19, November,2019,71.746,70.975,72.245,70.555,0,1.08%
Oct-19, October,2019,70.978,70.66,71.725,70.66,0,0.48%
Sep-19, September,2019,70.64,71.455,72.409,70.354,0,-1.14%
Aug-19, August,2019,71.451,69.257,72.262,68.999,0,3.76%
Jul-19, July,2019,68.86,68.962,69.16,68.282,0,-0.12%
Jun-19, June,2019,68.94,69.607,69.992,68.868,0,-0.91%
May-19, May,2019,69.57,69.58,70.649,69.095,0,-0.09%
Apr-19, April,2019,69.636,69.342,70.34,68.384,0,0.66%
Mar-19, March,2019,69.18,70.826,71,68.35,0,-2.33%
Feb-19, February,2019,70.83,71.105,71.852,70.398,0,-0.17%
Jan-19,January,2019,70.95,69.635,71.529,69.239,0,2.00%
Dec-18, December,2018,69.56,69.875,72.646,69.57,0,-0.11%
Nov-18, November,2018,69.64,73.855,73.872,69.565,0,-5.83%
Oct-18, October,2018,73.95,72.605,74.485,72.605,0,2.00%
Sep-18, September,2018,72.5,70.79,72.985,70.725,0,2.11%
Aug-18, August,2018,71,68.555,71.025,68.265,0,3.73%
Jul-18, July,2018,68.45,68.49,69.128,68.275,0,0.00%
Jun-18, June,2018,68.45,67.455,69.095,66.84,0,1.53%
May-18, May,2018,67.42,66.455,68.48,66.45,0,1.46%
Apr-18, April,2018,66.45,65.12,66.975,64.848,0,2.06%
Mar-18, March,2018,65.11,65.205,65.295,64.728,0,-0.14%
Feb-18, February,2018,65.2,63.645,65.314,63.555,0,2.61%
Jan-18,January,2018,63.54,63.855,64.125,63.245,0,-0.45%
Dec-17, December,2017,63.83,64.5,64.73,63.785,0,-1.01%
Nov-17, November,2017,64.48,64.705,65.545,64.275,0,-0.40%
Oct-17, October,2017,64.74,65.595,65.637,64.69,0,-0.87%
Sep-17, September,2017,65.305,63.925,65.895,63.778,0,2.15%
Aug-17, August,2017,63.93,64.105,64.326,63.565,0,-0.37%
Jul-17, July,2017,64.17,64.655,64.908,64.048,0,-0.69%
Jun-17, June,2017,64.615,64.488,64.84,64.166,0,0.17%
May-17, May,2017,64.505,64.285,65.025,63.985,0,0.37%
Apr-17, April,2017,64.27,64.805,65.185,63.925,0,-0.89%
Mar-17, March,2017,64.85,66.72,66.92,64.795,0,-2.77%
Feb-17, February,2017,66.7,67.655,67.688,66.595,0,-1.17%
Jan-17,January,2017,67.49,67.955,68.505,67.44,0,-0.67%
Dec-16, December,2016,67.945,68.595,68.597,67.314,0,-0.94%
Nov-16, November,2016,68.588,66.685,68.905,66.227,0,2.87%
Oct-16, October,2016,66.675,66.555,67.005,66.381,0,0.19%
Sep-16, September,2016,66.546,66.962,67.148,66.272,0,-0.62%
