Month,Price_rs,Change,Price_dollar_rubber,Change_dollar,Rubber_type,Year
 January, 14881.00,825, 208.70,11.3,RSS1,2020
 February, 15756.00,875, 220.50,11.8,RSS1,2020
 March, 14900.00,-856, 200.85,-19.65,RSS1,2020
 May, 13500.00,13500, 178.55,178.55,RSS1,2020
 June, 13331.00,-169, 176.00,-2.55,RSS1,2020
 July, 13423.00,92, 178.85,2.85,RSS1,2020
 August, 13863.00,440, 185.45,6.6,RSS1,2020
 September, 13942.00,79, 189.80,4.35,RSS1,2020
 October, 14838.00,896, 201.95,12.15,RSS1,2020
 November, 16350.00,1512, 220.30,18.35,RSS1,2020
January, 13960.00,710, 197.55,10,RSS1,2019
 February, 14039.00,79, 197.11,-0.44,RSS1,2019
 March, 14223.00,184, 204.30,7.19,RSS1,2019
 April, 14130.00,-93, 203.50,-0.8,RSS1,2019
 May, 14952.00,822, 214.30,10.8,RSS1,2019
 June, 15946.00,994, 229.45,15.15,RSS1,2019
 July, 15689.00,-257, 228.00,-1.45,RSS1,2019
 August, 14976.00,-713, 211.30,-16.7,RSS1,2019
 September, 14004.00,-972, 196.10,-15.2,RSS1,2019
 October, 13420.00,-584, 188.95,-7.15,RSS1,2019
 November, 13954.00,534, 195.45,6.5,RSS1,2019
 December, 14056.00,102, 197.40,1.95,RSS1,2019
January, 13658.00,14, 182.11,0.21,RSS1,2018
 February, 13700.00,42, 182.65,0.54,RSS1,2018
 March, 13673.00,-27, 182.31,-0.34,RSS1,2018
 April, 13076.00,-597, 174.35,-7.96,RSS1,2018
 May, 13812.00,736, 203.10,28.75,RSS1,2018
 June, 13977.00,165, 206.30,3.2,RSS1,2018
 July, 14054.00,77, 204.60,-1.7,RSS1,2018
 August, 14104.00,50, 203.05,-1.55,RSS1,2018
 September, 13863.00,-241, 192.25,-10.8,RSS1,2018
 October, 13368.00,-495, 181.80,-10.45,RSS1,2018
 November, 12650.00,-718, 175.50,-6.3,RSS1,2018
 December, 13250.00,600, 187.55,12.05,RSS1,2018
 January, 15412.00,1323, 205.50,17.65,RSS1,2017
 February, 16725.00,1313, 223.00,17.5,RSS1,2017
 March, 16015.00,-710, 213.55,-9.45,RSS1,2017
 April, 16043.00,28, 213.91,0.36,RSS1,2017
 May, 16000.00,-43, 213.35,-0.56,RSS1,2017
 June, 16192.00,192, 215.90,2.55,RSS1,2017
 July, 16500.00,308, 220.00,4.1,RSS1,2017
 August, 14596.00,-1904, 194.60,-25.4,RSS1,2017
 September, 14192.00,-404, 189.20,-5.4,RSS1,2017
 October, 13563.00,-629, 180.85,-8.35,RSS1,2017
 November, 12969.00,-594, 172.90,-7.95,RSS1,2017
 December, 13644.00,675, 181.90,9,RSS1,2017
January, 13512.00,372, 189.50,5,RSS4,2020
 February, 13536.00,24, 189.45,-0.05,RSS4,2020
 March, 13047.00,-489, 175.85,-13.6,RSS4,2020
 May, 11573.00,0, 153.10,0,RSS4,2020
 June, 12013.00,440, 158.60,5.5,RSS4,2020
 July, 12683.00,670, 169.00,10.4,RSS4,2020
 August, 13219.00,536, 176.85,7.9,RSS4,2020
 September, 13415.00,196, 182.65,5.8,RSS4,2020
 October, 14223.00,808, 193.60,10.95,RSS4,2020
 November, 15617.00,1394, 210.45,16.85,RSS4,2020
 December, 15842.00,225, 215.15,4.7,RSS4,2020
 January, 12466.00,270, 176.40,3.75,RSS4,2019
 February, 12433.00,-33, 174.55,-1.85,RSS4,2019
 March, 12802.00,369, 183.90,9.35,RSS4,2019
 April, 12828.00,26, 184.75,0.85,RSS4,2019
 May, 13604.00,776, 194.95,10.2,RSS4,2019
 June, 15029.00,1425, 216.25,21.3,RSS4,2019
 July, 14956.00,-73, 217.35,1.1,RSS4,2019
 August, 14336.00,-620, 202.30,-15.05,RSS4,2019
 September, 13317.00,-1019, 186.50,-15.8,RSS4,2019
 October, 12140.00,-1177, 170.90,-15.6,RSS4,2019
 November, 12817.00,677, 179.50,8.6,RSS4,2019
 December, 13140.00,323, 184.50,4.95,RSS4,2019
 January, 12746.00,-336, 169.95,-4.5,RSS4,2018
 February, 12413.00,-333, 165.50,-4.45,RSS4,2018
 March, 12438.00,25, 165.85,0.35,RSS4,2018
 April, 12012.00,-426, 160.15,-5.7,RSS4,2018
 May, 12419.00,407, 182.65,22.5,RSS4,2018
 June, 12646.00,227, 186.65,4,RSS4,2018
 July, 12919.00,273, 188.05,1.4,RSS4,2018
 August, 13267.00,348, 191.05,3,RSS4,2018
 September, 13048.00,-219, 180.95,-10.1,RSS4,2018
 October, 12780.00,-268, 173.85,-7.1,RSS4,2018
 November, 12156.00,-624, 168.65,-5.2,RSS4,2018
 December, 12196.00,40, 172.65,4,RSS4,2018
 January, 14666.00,1296, 195.55,17.3,RSS4,2017
 February, 15942.00,1276, 212.55,17,RSS4,2017
 March, 15024.00,-918, 200.30,-12.25,RSS4,2017
 April, 14339.00,-685, 191.20,-9.1,RSS4,2017
 May, 13073.00,-1266, 174.30,-16.9,RSS4,2017
 June, 12238.00,-835, 163.15,-11.15,RSS4,2017
 July, 13300.00,1062, 177.35,14.15,RSS4,2017
 August, 13063.00,-237, 174.15,-3.2,RSS4,2017
 September, 13424.00,361, 179.00,4.8,RSS4,2017
 October, 13060.00,-364, 174.15,-4.85,RSS4,2017
 November, 12587.00,-473, 167.85,-6.3,RSS4,2017
 December, 13082.00,495, 174.45,6.65,RSS4,2017
 January, 10904.00,40, 152.95,0.39,ISNR50,2020
 February, 10984.00,80, 153.70,0.75,ISNR50,2020
 March, 10900.00,-84, 146.90,-6.8,ISNR50,2020
 May, 10100.00,10100, 133.60,133.6,ISNR50,2020
 June, 10231.00,131, 135.05,1.45,ISNR50,2020
 July, 9854.00,-377, 131.30,-3.75,ISNR50,2020
 August, 9796.00,-58, 131.05,-0.25,ISNR50,2020
 September, 9881.00,85, 134.50,3.45,ISNR50,2020
 October, 10446.00,565, 142.15,7.65,ISNR50,2020
